Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
310,Miles McBride,PG,22,NYK,56,2,674,67,186,0.36,37,119,0.311,30,67,0.448,0.46,26,38,0.684,13,34,47,63,33,7,21,52,197,mcbrimi01
311,CJ McCollum,SG,31,NOP,65,65,2281,509,1171,0.435,182,475,0.383,327,696,0.47,0.512,164,209,0.785,52,238,290,385,59,34,166,131,1364,mccolcj01
312,T.J. McConnell,PG,30,IND,67,6,1343,231,437,0.529,23,52,0.442,208,385,0.54,0.555,49,58,0.845,40,164,204,348,74,7,123,90,534,mccontj01
313,Jaden McDaniels,SF,22,MIN,70,70,2157,327,631,0.518,95,240,0.396,232,391,0.593,0.594,96,128,0.75,86,189,275,137,64,68,100,243,845,mcdanja02
314,Jalen McDaniels,SF,25,TOT,71,22,1725,252,557,0.452,68,214,0.318,184,343,0.536,0.513,109,131,0.832,57,262,319,120,72,29,87,194,681,mcdanja01
314,Jalen McDaniels,SF,25,CHO,56,21,1494,221,494,0.447,65,202,0.322,156,292,0.534,0.513,88,104,0.846,44,226,270,111,66,29,80,158,595,mcdanja01
314,Jalen McDaniels,SF,25,PHI,15,1,231,31,63,0.492,3,12,0.25,28,51,0.549,0.516,21,27,0.778,13,36,49,9,6,0,7,36,86,mcdanja01
315,Doug McDermott,SF,31,SAS,60,0,1241,221,477,0.463,115,271,0.424,106,206,0.515,0.584,40,56,0.714,19,113,132,88,12,6,58,106,597,mcderdo01
316,JaVale McGee,C,35,DAL,37,7,296,65,107,0.607,1,4,0.25,64,103,0.621,0.612,20,34,0.588,28,66,94,10,4,21,32,46,151,mcgeeja01
317,Bryce McGowens,SG,20,CHO,37,1,537,45,123,0.366,14,46,0.304,31,77,0.403,0.423,34,43,0.791,14,47,61,29,9,5,25,33,138,mcgowbr01
318,Rodney McGruder,SG,31,DET,32,12,524,62,152,0.408,41,97,0.423,21,55,0.382,0.543,18,22,0.818,20,54,74,28,16,1,11,39,183,mcgruro01
319,Jordan McLaughlin,PG,26,MIN,36,0,572,55,129,0.426,18,68,0.265,37,61,0.607,0.496,11,14,0.786,15,39,54,117,31,3,28,21,139,mclaujo01
320,De'Anthony Melton,PG,24,PHI,68,52,1903,249,576,0.432,145,361,0.402,104,215,0.484,0.558,56,70,0.8,59,224,283,179,114,38,89,168,699,meltode01
321,Sam Merrill,SG,26,CLE,2,0,8,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,0,0,0,0,0,0,1,2,merrisa01
322,Chimezie Metu,C,25,SAC,59,0,636,118,198,0.596,9,36,0.25,109,162,0.673,0.619,44,58,0.759,44,134,178,40,20,21,29,77,289,metuch01
323,Khris Middleton,SF,31,MIL,27,13,649,139,324,0.429,44,131,0.336,95,193,0.492,0.497,77,86,0.895,23,89,112,130,20,5,58,61,399,middlkh01
324,Patty Mills,PG,34,BRK,38,1,515,81,193,0.42,47,123,0.382,34,70,0.486,0.541,21,23,0.913,8,34,42,52,14,3,26,27,230,millspa02
325,Shake Milton,SG,26,PHI,67,9,1355,214,431,0.497,52,130,0.4,162,301,0.538,0.557,87,103,0.845,31,136,167,188,22,11,77,102,567,miltosh01
326,Josh Minott,SF,20,MIN,14,0,92,18,34,0.529,2,6,0.333,16,28,0.571,0.559,8,8,1,5,20,25,4,4,6,3,10,46,minotjo01
327,Davion Mitchell,PG,24,SAC,71,7,1267,161,350,0.46,58,171,0.339,103,179,0.575,0.543,22,28,0.786,14,80,94,153,34,13,56,98,402,mitchda01
328,Donovan Mitchell,SG,26,CLE,62,62,2202,600,1258,0.477,219,578,0.379,381,680,0.56,0.564,281,322,0.873,58,200,258,284,93,23,164,149,1700,mitchdo01
329,Evan Mobley,PF,21,CLE,72,72,2468,475,862,0.551,21,97,0.216,454,765,0.593,0.563,193,283,0.682,166,472,638,197,56,100,142,206,1164,mobleev01
330,Isaiah Mobley,PF,23,CLE,10,0,30,5,10,0.5,1,3,0.333,4,7,0.571,0.55,0,0,,1,11,12,0,1,1,0,2,11,mobleis01
331,Chima Moneke,SF,27,SAC,2,0,8,1,2,0.5,0,0,,1,2,0.5,0.5,0,2,0,2,0,2,1,0,0,2,2,2,monekch01
332,Malik Monk,SG,24,SAC,69,0,1553,321,718,0.447,127,358,0.355,194,360,0.539,0.536,171,193,0.886,31,152,183,270,43,18,134,115,940,monkma01
333,Moses Moody,SG,20,GSW,56,3,733,88,197,0.447,41,120,0.342,47,77,0.61,0.551,36,52,0.692,26,65,91,46,18,6,31,43,253,moodymo01
334,Wendell Moore Jr.,SG,21,MIN,27,2,149,17,42,0.405,2,17,0.118,15,25,0.6,0.429,4,5,0.8,3,14,17,18,8,5,8,13,40,moorewe01
335,Ja Morant,PG,23,MEM,53,53,1721,507,1094,0.463,85,269,0.316,422,825,0.512,0.502,337,453,0.744,60,257,317,434,59,13,180,88,1436,moranja01
336,Marcus Morris,PF,33,LAC,63,63,1778,270,630,0.429,112,303,0.37,158,327,0.483,0.517,68,87,0.782,28,224,252,110,41,21,55,135,720,morrima03
337,Markieff Morris,PF,33,TOT,32,1,309,37,89,0.416,22,54,0.407,15,35,0.429,0.539,10,10,1,13,49,62,26,9,5,17,38,106,morrima02
337,Markieff Morris,PF,33,BRK,27,1,285,33,82,0.402,20,49,0.408,13,33,0.394,0.524,10,10,1,13,46,59,25,8,5,14,33,96,morrima02
337,Markieff Morris,PF,33,DAL,5,0,24,4,7,0.571,2,5,0.4,2,2,1,0.714,0,0,,0,3,3,1,1,0,3,5,10,morrima02
338,Monte Morris,PG,27,WAS,58,57,1610,228,477,0.478,76,191,0.398,152,286,0.531,0.558,63,76,0.829,23,177,200,303,39,10,59,75,595,morrimo01
339,Trey Murphy III,SF,22,NOP,69,55,2073,318,669,0.475,164,414,0.396,154,255,0.604,0.598,128,141,0.908,55,200,255,94,70,37,54,134,928,murphtr02
340,Dejounte Murray,SG,26,ATL,66,66,2403,546,1188,0.46,126,358,0.352,420,830,0.506,0.513,134,162,0.827,48,310,358,398,101,18,145,96,1352,murrade01
341,Jamal Murray,PG,25,DEN,58,58,1916,425,944,0.45,150,381,0.394,275,563,0.488,0.53,167,202,0.827,44,185,229,352,60,12,128,87,1167,murraja01
342,Keegan Murray,SF,22,SAC,70,68,2080,299,673,0.444,175,433,0.404,124,240,0.517,0.574,59,76,0.776,75,248,323,81,56,37,57,137,832,murrake02
343,Mike Muscala,C,31,TOT,54,7,799,111,253,0.439,70,180,0.389,41,73,0.562,0.577,32,41,0.78,27,143,170,41,15,22,19,87,324,muscami01
343,Mike Muscala,C,31,OKC,43,5,622,89,203,0.438,56,142,0.394,33,61,0.541,0.576,31,39,0.795,23,112,135,38,11,19,14,70,265,muscami01
343,Mike Muscala,C,31,BOS,11,2,177,22,50,0.44,14,38,0.368,8,12,0.667,0.58,1,2,0.5,4,31,35,3,4,3,5,17,59,muscami01
344,Svi Mykhailiuk,SF,25,TOT,23,0,165,23,53,0.434,16,31,0.516,7,22,0.318,0.585,7,15,0.467,3,14,17,10,3,1,6,6,69,mykhasv01
344,Svi Mykhailiuk,SF,25,CHO,10,0,125,17,41,0.415,10,21,0.476,7,20,0.35,0.537,4,10,0.4,3,7,10,9,2,1,4,5,48,mykhasv01
344,Svi Mykhailiuk,SF,25,NYK,13,0,40,6,12,0.5,6,10,0.6,0,2,0,0.75,3,5,0.6,0,7,7,1,1,0,2,1,21,mykhasv01
345,Larry Nance Jr.,PF,30,NOP,55,1,1185,169,273,0.619,14,39,0.359,155,234,0.662,0.645,50,73,0.685,94,217,311,102,49,34,37,114,402,nancela02
346,Andrew Nembhard,SG,23,IND,65,53,1761,221,519,0.426,79,231,0.342,142,288,0.493,0.502,39,49,0.796,30,141,171,262,60,12,103,157,560,nembhan01
347,Aaron Nesmith,SF,23,IND,63,51,1559,217,508,0.427,97,273,0.355,120,235,0.511,0.523,99,116,0.853,54,186,240,80,48,28,64,208,630,nesmiaa01
348,Raul Neto,PG,30,CLE,45,1,450,50,94,0.532,12,37,0.324,38,57,0.667,0.596,24,27,0.889,7,33,40,63,16,3,16,40,136,netora01
349,Georges Niang,PF,29,PHI,68,0,1306,195,441,0.442,137,340,0.403,58,101,0.574,0.598,32,38,0.842,18,142,160,70,26,12,45,129,559,niangge01
350,Daishen Nix,PG,20,HOU,48,7,801,74,206,0.359,37,119,0.311,37,87,0.425,0.449,23,34,0.676,16,70,86,122,29,6,72,53,208,nixda01
351,Zeke Nnaji,PF,22,DEN,45,5,595,89,154,0.578,13,45,0.289,76,109,0.697,0.62,36,54,0.667,56,51,107,12,15,20,21,83,227,nnajize01
352,Nerlens Noel,C,28,TOT,17,4,195,13,36,0.361,1,2,0.5,12,34,0.353,0.375,8,12,0.667,10,36,46,10,16,10,13,32,35,noelne01
352,Nerlens Noel,C,28,DET,14,3,152,12,30,0.4,1,2,0.5,11,28,0.393,0.417,7,10,0.7,7,30,37,7,13,9,8,25,32,noelne01
352,Nerlens Noel,C,28,BRK,3,1,43,1,6,0.167,0,0,,1,6,0.167,0.167,1,2,0.5,3,6,9,3,3,1,5,7,3,noelne01
353,Jaylen Nowell,SG,23,MIN,63,2,1228,274,612,0.448,66,227,0.291,208,385,0.54,0.502,76,97,0.784,34,131,165,130,42,5,63,97,690,nowelja01
354,Frank Ntilikina,PG,24,DAL,43,3,496,37,104,0.356,13,55,0.236,24,49,0.49,0.418,16,24,0.667,6,49,55,47,11,4,25,54,103,ntilila01
355,Kendrick Nunn,SG-PG,27,TOT,61,2,816,152,365,0.416,61,181,0.337,91,184,0.495,0.5,28,33,0.848,12,76,88,69,23,3,52,52,393,nunnke01
355,Kendrick Nunn,SG,27,LAL,39,2,528,102,251,0.406,41,126,0.325,61,125,0.488,0.488,17,21,0.81,5,50,55,34,11,3,31,35,262,nunnke01
355,Kendrick Nunn,PG,27,WAS,22,0,288,50,114,0.439,20,55,0.364,30,59,0.508,0.526,11,12,0.917,7,26,33,35,12,0,21,17,131,nunnke01
356,Jusuf Nurki?,C,28,POR,51,51,1360,255,493,0.517,41,114,0.36,214,379,0.565,0.559,123,186,0.661,114,353,467,145,42,43,119,182,674,nurkiju01
357,Jordan Nwora,SF,24,TOT,52,7,914,139,330,0.421,65,159,0.409,74,171,0.433,0.52,50,64,0.781,42,139,181,71,23,11,53,55,393,nworajo01
357,Jordan Nwora,SF,24,MIL,38,3,597,76,197,0.386,40,102,0.392,36,95,0.379,0.487,37,43,0.86,29,88,117,38,12,7,34,34,229,nworajo01
357,Jordan Nwora,SF,24,IND,14,4,317,63,133,0.474,25,57,0.439,38,76,0.5,0.568,13,21,0.619,13,51,64,33,11,4,19,21,164,nworajo01
358,Royce O'Neale,SF,29,BRK,68,52,2176,206,530,0.389,146,372,0.392,60,158,0.38,0.526,47,65,0.723,51,292,343,251,59,44,102,214,605,onealro01
359,Chuma Okeke,SF,24,ORL,22,7,413,34,93,0.366,20,65,0.308,14,28,0.5,0.473,16,21,0.762,21,57,78,26,12,9,11,35,104,okekech01
360,Josh Okogie,SG,24,PHO,61,15,1074,138,343,0.402,54,163,0.331,84,180,0.467,0.481,111,152,0.73,93,111,204,81,48,28,57,95,441,okogijo01
361,Onyeka Okongwu,C,22,ATL,70,17,1642,273,428,0.638,2,7,0.286,271,421,0.644,0.64,120,160,0.75,193,314,507,71,50,89,69,222,668,okongon01
362,Isaac Okoro,SF,22,CLE,74,44,1614,170,348,0.489,59,167,0.353,111,181,0.613,0.573,76,101,0.752,52,133,185,86,56,30,41,154,475,okorois01
363,KZ Okpala,PF,23,SAC,35,3,248,16,38,0.421,7,21,0.333,9,17,0.529,0.513,7,8,0.875,7,27,34,13,7,7,7,39,46,okpalkz01
364,Victor Oladipo,SG,30,MIA,38,1,1015,137,350,0.391,56,178,0.315,81,172,0.471,0.471,54,71,0.761,16,105,121,129,52,11,74,89,384,oladivi01
365,Kelly Olynyk,C,31,UTA,59,59,1668,234,472,0.496,83,208,0.399,151,264,0.572,0.584,164,194,0.845,73,266,339,203,53,34,134,207,715,olynyke01
366,Eugene Omoruyi,SF,25,TOT,33,5,485,79,171,0.462,14,57,0.246,65,114,0.57,0.503,29,44,0.659,36,52,88,20,21,1,22,77,201,omorueu01
366,Eugene Omoruyi,SF,25,OKC,23,2,272,44,94,0.468,8,31,0.258,36,63,0.571,0.511,17,28,0.607,22,30,52,11,14,0,16,46,113,omorueu01
366,Eugene Omoruyi,SF,25,DET,10,3,213,35,77,0.455,6,26,0.231,29,51,0.569,0.494,12,16,0.75,14,22,36,9,7,1,6,31,88,omorueu01
367,Cedi Osman,SF,27,CLE,69,0,1425,220,483,0.455,104,282,0.369,116,201,0.577,0.563,66,96,0.688,23,137,160,106,33,9,47,109,610,osmande01
368,Kelly Oubre Jr.,SF,27,CHO,47,39,1535,349,809,0.431,108,336,0.321,241,473,0.51,0.498,158,207,0.763,65,181,246,52,66,18,63,140,964,oubreke01
369,Chris Paul,PG,37,PHO,50,50,1604,241,558,0.432,77,213,0.362,164,345,0.475,0.501,118,144,0.819,19,194,213,458,81,19,100,108,677,paulch01
370,Cameron Payne,PG,28,PHO,39,14,836,162,389,0.416,61,165,0.37,101,224,0.451,0.495,43,57,0.754,12,79,91,183,30,6,74,73,428,payneca01
371,Gary Payton II,PG,30,POR,15,1,255,24,41,0.585,9,17,0.529,15,24,0.625,0.695,4,4,1,10,29,39,22,16,1,12,29,61,paytoga02
372,Theo Pinson,SG,27,DAL,37,0,245,20,61,0.328,15,44,0.341,5,17,0.294,0.451,9,11,0.818,8,33,41,30,4,1,9,24,64,pinsoth01
373,Scotty Pippen Jr.,PG,22,LAL,6,0,32,4,12,0.333,1,3,0.333,3,9,0.333,0.375,5,9,0.556,2,2,4,2,2,1,2,3,14,pippesc02
374,Mason Plumlee,C,32,TOT,70,60,1883,304,450,0.676,0,0,,304,450,0.676,0.676,192,304,0.632,216,443,659,229,43,41,107,197,800,plumlma01
374,Mason Plumlee,C,32,CHO,56,56,1597,265,396,0.669,0,0,,265,396,0.669,0.669,155,256,0.605,187,354,541,205,35,35,87,161,685,plumlma01
374,Mason Plumlee,C,32,LAC,14,4,286,39,54,0.722,0,0,,39,54,0.722,0.722,37,48,0.771,29,89,118,24,8,6,20,36,115,plumlma01
375,Jakob Poeltl,C,27,TOT,62,61,1653,343,544,0.631,0,1,0,343,543,0.632,0.631,111,182,0.61,203,363,566,182,58,77,114,171,797,poeltja01
375,Jakob Poeltl,C,27,SAS,46,46,1199,239,388,0.616,0,1,0,239,387,0.618,0.616,78,129,0.605,152,264,416,141,36,52,96,118,556,poeltja01
375,Jakob Poeltl,C,27,TOR,16,15,454,104,156,0.667,0,0,,104,156,0.667,0.667,33,53,0.623,51,99,150,41,22,25,18,53,241,poeltja01
376,Aleksej Pokusevski,PF,21,OKC,31,25,677,107,243,0.44,38,101,0.376,69,142,0.486,0.519,21,33,0.636,45,112,157,62,20,41,41,57,273,pokusal01
377,Jordan Poole,PG,23,GSW,73,42,2225,488,1147,0.425,188,569,0.33,300,578,0.519,0.507,311,356,0.874,30,169,199,336,58,18,235,191,1475,poolejo01
378,Kevin Porter Jr.,PG,22,HOU,50,50,1703,323,744,0.434,111,319,0.348,212,425,0.499,0.509,177,227,0.78,67,207,274,290,66,16,167,131,934,porteke02
379,Michael Porter Jr.,SF,24,DEN,55,55,1594,349,709,0.492,163,393,0.415,186,316,0.589,0.607,87,107,0.813,51,245,296,59,35,27,62,112,948,portemi01
380,Otto Porter Jr.,SF,29,TOR,8,2,146,15,30,0.5,6,17,0.353,9,13,0.692,0.6,8,8,1,6,13,19,8,11,0,4,7,44,porteot01
381,Bobby Portis,PF,27,MIL,60,19,1558,339,676,0.501,70,204,0.343,269,472,0.57,0.553,79,96,0.823,137,437,574,96,25,14,73,97,827,portibo01
382,Kristaps Porzi??is,C,27,WAS,61,61,2002,466,952,0.489,127,338,0.376,339,614,0.552,0.556,340,401,0.848,110,405,515,159,55,96,132,190,1399,porzikr01
383,Micah Potter,PF,24,UTA,3,0,14,2,2,1,0,0,,2,2,1,1,0,0,,1,2,3,2,0,0,0,2,4,pottemi01
384,Dwight Powell,C,31,DAL,67,55,1333,176,243,0.724,0,5,0,176,238,0.739,0.724,109,160,0.681,135,155,290,61,47,25,60,191,461,poweldw01
385,Norman Powell,SG,29,LAC,54,7,1392,299,630,0.475,109,266,0.41,190,364,0.522,0.561,192,239,0.803,20,138,158,95,42,17,89,107,899,powelno01
386,Jason Preston,PG,23,LAC,13,0,122,18,41,0.439,5,18,0.278,13,23,0.565,0.5,0,2,0,2,20,22,27,2,0,10,7,41,prestja01
387,Joshua Primo,SG,20,SAS,4,0,93,9,26,0.346,3,12,0.25,6,14,0.429,0.404,7,9,0.778,2,11,13,18,1,2,11,8,28,primojo01
388,Taurean Prince,SF,28,MIN,47,4,1027,154,320,0.481,65,164,0.396,89,156,0.571,0.583,48,57,0.842,13,101,114,76,24,15,62,112,421,princta02
389,Payton Pritchard,PG,25,BOS,45,2,563,80,205,0.39,42,127,0.331,38,78,0.487,0.493,11,15,0.733,22,46,68,47,14,1,31,35,213,pritcpa01
390,Trevelin Queen,SG,25,IND,7,0,70,7,29,0.241,2,15,0.133,5,14,0.357,0.276,5,5,1,8,9,17,6,2,5,7,4,21,queentr01
391,Neemias Queta,C,23,SAC,4,0,25,6,8,0.75,0,0,,6,8,0.75,0.75,0,2,0,4,5,9,1,0,1,1,7,12,quetane01
392,Immanuel Quickley,PG,23,NYK,72,15,2047,345,780,0.442,137,384,0.357,208,396,0.525,0.53,159,193,0.824,52,243,295,229,63,12,82,147,986,quickim01
393,Julius Randle,PF,28,NYK,73,73,2623,633,1372,0.461,212,612,0.346,421,760,0.554,0.539,391,515,0.759,139,604,743,299,47,19,208,223,1869,randlju01
394,Austin Reaves,SG,24,LAL,54,12,1499,203,392,0.518,68,179,0.38,135,213,0.634,0.605,176,206,0.854,28,132,160,154,30,19,78,89,650,reaveau01
395,Cam Reddish,SF,23,TOT,36,20,901,128,285,0.449,44,135,0.326,84,150,0.56,0.526,57,68,0.838,16,65,81,55,37,13,43,67,357,reddica01
395,Cam Reddish,SF,23,POR,16,12,463,67,149,0.45,27,79,0.342,40,70,0.571,0.54,28,35,0.8,9,41,50,35,22,5,28,35,189,reddica01
395,Cam Reddish,SF,23,NYK,20,8,438,61,136,0.449,17,56,0.304,44,80,0.55,0.511,29,33,0.879,7,24,31,20,15,8,15,32,168,reddica01
396,Davon Reed,SG,27,TOT,40,1,336,27,83,0.325,17,46,0.37,10,37,0.27,0.428,16,24,0.667,10,48,58,21,14,4,20,39,87,reedda01
396,Davon Reed,SG,27,DEN,35,1,315,25,80,0.313,16,44,0.364,9,36,0.25,0.413,15,20,0.75,9,46,55,19,13,4,20,36,81,reedda01
396,Davon Reed,SG,27,LAL,5,0,21,2,3,0.667,1,2,0.5,1,1,1,0.833,1,4,0.25,1,2,3,2,1,0,0,3,6,reedda01
397,Paul Reed,C,23,PHI,58,0,593,92,160,0.575,0,4,0,92,156,0.59,0.575,22,29,0.759,83,117,200,19,36,41,35,110,206,reedpa01
398,Naz Reid,C,23,MIN,64,11,1161,277,520,0.533,66,199,0.332,211,321,0.657,0.596,79,116,0.681,70,239,309,73,39,51,88,171,699,reidna01
399,Jared Rhoden,SG,23,DET,7,0,66,6,16,0.375,1,7,0.143,5,9,0.556,0.406,2,2,1,7,7,14,2,2,0,0,7,15,rhodeja01
400,Nick Richards,C,25,CHO,58,5,1056,170,273,0.623,0,0,,170,273,0.623,0.623,119,157,0.758,135,216,351,32,10,65,53,135,459,richani01
401,Josh Richardson,SG,29,TOT,55,10,1322,218,505,0.432,94,262,0.359,124,243,0.51,0.525,69,81,0.852,37,113,150,163,64,18,73,103,599,richajo01
401,Josh Richardson,SG,29,SAS,42,6,997,177,406,0.436,74,207,0.357,103,199,0.518,0.527,53,60,0.883,30,89,119,137,40,11,63,70,481,richajo01
401,Josh Richardson,SG,29,NOP,13,4,325,41,99,0.414,20,55,0.364,21,44,0.477,0.515,16,21,0.762,7,24,31,26,24,7,10,33,118,richajo01
402,Austin Rivers,SG,30,MIN,52,10,1016,91,209,0.435,43,123,0.35,48,86,0.558,0.538,30,39,0.769,5,78,83,75,28,4,23,80,255,riverau01
403,Duncan Robinson,SF,28,MIA,35,0,577,73,199,0.367,53,161,0.329,20,38,0.526,0.5,23,25,0.92,8,53,61,39,12,0,21,63,222,robindu01
404,Mitchell Robinson,C,24,NYK,51,50,1391,164,239,0.686,0,0,,164,239,0.686,0.686,49,100,0.49,219,243,462,43,48,82,32,141,377,robinmi01
405,Orlando Robinson,C,22,MIA,29,1,397,46,86,0.535,0,5,0,46,81,0.568,0.535,21,29,0.724,44,74,118,21,12,12,15,52,113,robinor01
406,Jeremiah Robinson-Earl,PF,22,OKC,36,19,700,95,211,0.45,31,96,0.323,64,115,0.557,0.524,31,38,0.816,64,95,159,38,21,11,18,59,252,robinje02
407,Isaiah Roby,PF,24,SAS,42,2,474,67,155,0.432,18,60,0.3,49,95,0.516,0.49,20,41,0.488,21,86,107,38,18,7,31,53,172,robyis01
408,David Roddy,PF,21,MEM,59,2,1000,149,340,0.438,53,172,0.308,96,168,0.571,0.516,36,59,0.61,38,117,155,39,28,15,49,88,387,roddyda01
409,Ryan Rollins,PG,20,GSW,12,0,62,7,20,0.35,3,9,0.333,4,11,0.364,0.425,6,6,1,3,9,12,6,1,1,16,10,23,rolliry01
410,Derrick Rose,PG,34,NYK,27,0,338,61,159,0.384,19,63,0.302,42,96,0.438,0.443,11,12,0.917,8,32,40,46,7,5,22,18,152,rosede01
411,Terrence Ross,SG,31,TOT,52,9,1127,164,376,0.436,80,209,0.383,84,167,0.503,0.543,22,29,0.759,15,96,111,70,33,8,41,81,430,rosste01
411,Terrence Ross,SG,31,ORL,42,9,944,129,299,0.431,61,160,0.381,68,139,0.489,0.533,15,20,0.75,10,75,85,54,25,8,37,53,334,rosste01
411,Terrence Ross,SG,31,PHO,10,0,183,35,77,0.455,19,49,0.388,16,28,0.571,0.578,7,9,0.778,5,21,26,16,8,0,4,28,96,rosste01
